,gene_name,start,stop,strand,gene_product,cog,uniprot,regulator,accession,ncbi_protein,new_locus_tag,new_accession,operon
ABUW_3449,dctA,3494075,3495361,-,C4-dicarboxylate transport protein,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA33145.1,ABUW_RS16770,NZ_CP008706.1,
ABUW_3450,ABUW_3450,3496051,3497172,-,endonuclease/exonuclease/phosphatase,Function unknown,,,CP008706.1,AKA33146.1,ABUW_RS16775,NZ_CP008706.1,
ABUW_3451,asd,3497362,3498480,+,aspartate-semialdehyde dehydrogenase,Amino acid transport and metabolism,,,CP008706.1,AKA33147.1,ABUW_RS16780,NZ_CP008706.1,
ABUW_3452,ABUW_3452,3498629,3499993,+,hypothetical protein,Cell motility,,,CP008706.1,AKA33148.1,ABUW_RS16785,NZ_CP008706.1,
ABUW_3453,ABUW_3453,3500053,3501315,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA33149.1,ABUW_RS16790,NZ_CP008706.1,
ABUW_3454,ABUW_3454,3501374,3502345,+,putative L-asparaginase I,Amino acid transport and metabolism,,,CP008706.1,AKA33150.1,ABUW_RS16795,NZ_CP008706.1,
ABUW_3455,truA,3502360,3503157,+,tRNA pseudouridine synthase A,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33151.1,ABUW_RS16800,NZ_CP008706.1,
ABUW_3456,ABUW_3456,3503176,3504201,-,helix-turn-helix- domain containing protein%2C AraC type,Transcription,,,CP008706.1,AKA33152.1,ABUW_RS16805,NZ_CP008706.1,
ABUW_3457,infA,3504451,3504672,+,translation initiation factor IF-1,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33153.1,ABUW_RS16810,NZ_CP008706.1,
ABUW_3458,ABUW_3458,3504724,3505092,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33154.1,ABUW_RS16815,NZ_CP008706.1,
ABUW_3459,ABUW_3459,3505261,3505668,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA33155.1,ABUW_RS16820,NZ_CP008706.1,
ABUW_3460,leuB,3505722,3506801,-,3-isopropylmalate dehydrogenase,Energy production and conversion,,,CP008706.1,AKA33156.1,ABUW_RS16825,NZ_CP008706.1,
ABUW_3461,ABUW_3461,3506833,3507423,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA33157.1,ABUW_RS16830,NZ_CP008706.1,
ABUW_3462,leuD,3507536,3508183,-,3-isopropylmalate dehydratase%2C small subunit,Amino acid transport and metabolism,,,CP008706.1,AKA33158.1,ABUW_RS16835,NZ_CP008706.1,
ABUW_3463,leuC,3508202,3509731,-,3-isopropylmalate dehydratase%2C large subunit,Amino acid transport and metabolism,,,CP008706.1,AKA33159.1,ABUW_RS16840,NZ_CP008706.1,
ABUW_3464,ABUW_3464,3509858,3510112,+,hypothetical protein,Function unknown,,,CP008706.1,AKA33160.1,ABUW_RS16845,NZ_CP008706.1,
ABUW_3465,ABUW_3465,3510230,3511090,+,transcriptional regulator%2C LysR family,Transcription,,Fur,CP008706.1,AKA33161.1,ABUW_RS16850,NZ_CP008706.1,
ABUW_3466,ABUW_3466,3511095,3511745,-,HAD-superfamily subfamily IB hydrolase,Amino acid transport and metabolism,,,CP008706.1,AKA33162.1,ABUW_RS16855,NZ_CP008706.1,
ABUW_3467,nudH,3511928,3512413,+,(di)nucleoside polyphosphate hydrolase,"Replication, recombination and repair",,,CP008706.1,AKA33163.1,ABUW_RS16860,NZ_CP008706.1,
ABUW_3468,ptsP,3512499,3514793,+,phosphoenolpyruvate-protein phosphotransferase,Signal transduction mechanisms,,,CP008706.1,AKA33164.1,ABUW_RS16865,NZ_CP008706.1,
ABUW_3469,katG,3515308,3517464,+,catalase/peroxidase HPI,Inorganic ion transport and metabolism,,,CP008706.1,AKA33165.1,ABUW_RS16870,NZ_CP008706.1,
ABUW_3470,ABUW_3470,3517531,3518583,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33166.1,ABUW_RS16875,NZ_CP008706.1,
ABUW_3471,ABUW_3471,3519319,3520218,+,Hca operon transcriptional activator,Transcription,,,CP008706.1,AKA33167.1,ABUW_RS16880,NZ_CP008706.1,
ABUW_3472,ABUW_3472,3520481,3521158,+,hypothetical protein,Function unknown,,,CP008706.1,AKA33168.1,ABUW_RS16885,NZ_CP008706.1,
ABUW_3473,ABUW_3473,3521217,3521822,-,glutathione S-transferase,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA33169.1,ABUW_RS16890,NZ_CP008706.1,
ABUW_3474,ABUW_3474,3521872,3522567,-,transcriptional regulator%2C DeoR family,Transcription,,,CP008706.1,AKA33170.1,ABUW_RS16895,NZ_CP008706.1,
ABUW_3475,ABUW_3475,3522641,3523315,-,HAD-superfamily hydrolase,Function unknown,,,CP008706.1,AKA33171.1,ABUW_RS16900,NZ_CP008706.1,
ABUW_3476,rluC,3523312,3524244,-,ribosomal large subunit pseudouridine synthase C,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33172.1,ABUW_RS16905,NZ_CP008706.1,
ABUW_3477,ABUW_3477,3524309,3524596,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA33173.1,ABUW_RS16910,NZ_CP008706.1,
ABUW_3478,rne,3524967,3528299,+,ribonuclease E,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33174.1,ABUW_RS16915,NZ_CP008706.1,
ABUW_3479,ABUW_3479,3528492,3530333,+,acyl-CoA synthase,Lipid transport and metabolism,,,CP008706.1,AKA33175.1,ABUW_RS16920,NZ_CP008706.1,
ABUW_3482,ABUW_3482,3530803,3531699,-,transcriptional regulator%2C HTH-type,Transcription,,,CP008706.1,AKA33176.1,ABUW_RS16935,NZ_CP008706.1,
ABUW_3483,ABUW_3483,3531812,3532567,+,short chain dehydrogenase,Lipid transport and metabolism,,,CP008706.1,AKA33177.1,ABUW_RS16940,NZ_CP008706.1,
ABUW_3484,ABUW_3484,3532620,3533774,-,putative oxygen-independent coproporphyrinogen III oxidase,Coenzyme transport and metabolism,,,CP008706.1,AKA33178.1,ABUW_RS16945,NZ_CP008706.1,
ABUW_3485,ABUW_3485,3533895,3534353,+,hypothetical protein,Function unknown,,,CP008706.1,AKA33179.1,ABUW_RS16950,NZ_CP008706.1,
ABUW_3486,abeM,3534387,3535733,+,multidrug efflux pump,Defense mechanisms,,,CP008706.1,AKA33180.1,ABUW_RS16955,NZ_CP008706.1,
ABUW_3487,ABUW_3487,3535768,3537018,-,acyl-CoA dehydrogenase-family protein,Lipid transport and metabolism,,,CP008706.1,AKA33181.1,ABUW_RS16960,NZ_CP008706.1,
ABUW_3488,ABUW_3488,3537052,3538299,-,acyl-CoA dehydrogenase-family protein,Lipid transport and metabolism,,,CP008706.1,AKA33182.1,ABUW_RS16965,NZ_CP008706.1,
ABUW_3489,ABUW_3489,3538557,3539855,+,hypothetical protein,Function unknown,,,CP008706.1,AKA33183.1,ABUW_RS16970,NZ_CP008706.1,
ABUW_3490,rpmE2,3539957,3540211,+,ribosomal protein L31,"Translation, ribosomal structure and biogenesis",,Zur,CP008706.1,AKA33184.1,ABUW_RS16975,NZ_CP008706.1,
ABUW_3491,ABUW_3491,3540464,3540796,+,type III effector HopPmaJ,Function unknown,,,CP008706.1,AKA33185.1,ABUW_RS16980,NZ_CP008706.1,
ABUW_3492,crcB,3541254,3541634,-,CrcB protein,"Cell cycle control, cell division, chromosome partitioning",,,CP008706.1,AKA33186.1,ABUW_RS16985,NZ_CP008706.1,
ABUW_3493,ABUW_3493,3541870,3542280,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33187.1,ABUW_RS16990,NZ_CP008706.1,
ABUW_3494,ABUW_3494,3542358,3543563,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33188.1,ABUW_RS16995,NZ_CP008706.1,
ABUW_3495,ABUW_3495,3543553,3544185,-,methyltransferase superfamily,Coenzyme transport and metabolism,,,CP008706.1,AKA33189.1,ABUW_RS17000,NZ_CP008706.1,
ABUW_3496,ABUW_3496,3544279,3544473,+,hypothetical protein,Function unknown,,,CP008706.1,AKA33190.1,ABUW_RS17005,NZ_CP008706.1,
ABUW_3497,ABUW_3497,3544470,3545114,-,beta-lactamase domain protein,Function unknown,,,CP008706.1,AKA33191.1,ABUW_RS17010,NZ_CP008706.1,
ABUW_3498,hemH,3545138,3546154,-,ferrochelatase,Coenzyme transport and metabolism,,,CP008706.1,AKA33192.1,ABUW_RS17015,NZ_CP008706.1,
ABUW_3499,ABUW_3499,3546228,3547232,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33193.1,ABUW_RS17020,NZ_CP008706.1,
ABUW_3500,murI2,3547353,3548219,-,glutamate racemase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA33194.1,ABUW_RS17025,NZ_CP008706.1,
ABUW_3501,ABUW_3501,3548268,3548879,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33195.1,ABUW_RS17030,NZ_CP008706.1,
ABUW_3502,etfD,3549066,3550778,+,electron transfer flavoprotein-ubiquinone oxidoreductase (EsvG),Energy production and conversion,,,CP008706.1,AKA33196.1,ABUW_RS17035,NZ_CP008706.1,
ABUW_3503,ABUW_3503,3550865,3551245,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA33197.1,ABUW_RS20540,NZ_CP008706.1,
ABUW_3504,sirA,3551389,3551646,-,sulfurtransferase TusA,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA33198.1,ABUW_RS17045,NZ_CP008706.1,
ABUW_3505,corC,3551831,3552670,+,magnesium and cobalt efflux protein CorC,Inorganic ion transport and metabolism,,,CP008706.1,AKA33199.1,ABUW_RS17050,NZ_CP008706.1,
ABUW_3506,lnt,3552667,3554226,+,apolipoprotein N-acyltransferase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA33200.1,ABUW_RS17055,NZ_CP008706.1,
ABUW_3507,csaA,3554228,3554566,-,secretion chaperone,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33201.1,ABUW_RS17060,NZ_CP008706.1,
ABUW_3508,ABUW_3508,3554710,3555054,-,hypothetical protein,No COG annotation,,Fur,CP008706.1,AKA33202.1,ABUW_RS17065,NZ_CP008706.1,
ABUW_3509,ABUW_3509,3555321,3555902,-,general secretion pathway protein G,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA33203.1,ABUW_RS17070,NZ_CP008706.1,
ABUW_3510,gspF,3555926,3557131,-,general secretion pathway protein F,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA33204.1,ABUW_RS17075,NZ_CP008706.1,
ABUW_3511,priA,3557280,3559508,+,primosomal protein N`,"Replication, recombination and repair",,,CP008706.1,AKA33205.1,ABUW_RS17080,NZ_CP008706.1,
ABUW_3512,ABUW_3512,3559585,3561426,+,glutathione-regulated potassium-efflux system protein KefB,Inorganic ion transport and metabolism,,,CP008706.1,AKA33206.1,ABUW_RS17085,NZ_CP008706.1,
ABUW_3513,hslO,3561592,3562467,+,heat shock protein 33,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA33207.1,ABUW_RS17090,NZ_CP008706.1,
ABUW_3514,ABUW_3514,3562605,3563216,+,transporter%2C LysE family,Amino acid transport and metabolism,,,CP008706.1,AKA33208.1,ABUW_RS17095,NZ_CP008706.1,
ABUW_3515,cbpA,3563367,3564323,+,curved DNA-binding protein,"Post-translational modification, protein turnover,and chaperones",,ABUW_1645,CP008706.1,AKA33209.1,ABUW_RS17100,NZ_CP008706.1,
ABUW_3516,ABUW_3516,3564335,3564664,+,hypothetical protein,Transcription,,,CP008706.1,AKA33210.1,ABUW_RS17105,NZ_CP008706.1,
ABUW_3517,ABUW_3517,3564956,3566167,-,magnesium Mg(2+)/cobalt Co(2+) transport protein,Inorganic ion transport and metabolism,,,CP008706.1,AKA33211.1,ABUW_RS17110,NZ_CP008706.1,
ABUW_3518,pnp,3566252,3568345,-,polyribonucleotide nucleotidyltransferase,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33212.1,ABUW_RS17115,NZ_CP008706.1,
ABUW_3519,rpsO,3568597,3568866,-,ribosomal protein S15,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33213.1,ABUW_RS17120,NZ_CP008706.1,
ABUW_3520,ABUW_3520,3569079,3570377,+,beta-lactamase,Defense mechanisms,,,CP008706.1,AKA33214.1,ABUW_RS17125,NZ_CP008706.1,
ABUW_3521,recD,3571094,3572845,-,exonuclease V alpha subunit,"Replication, recombination and repair",,,CP008706.1,AKA33215.1,ABUW_RS17130,NZ_CP008706.1,
ABUW_3522,recB,3572954,3576652,-,exonuclease V beta chain,"Replication, recombination and repair",,,CP008706.1,AKA33216.1,ABUW_RS17135,NZ_CP008706.1,
ABUW_3523,recC,3576656,3580291,-,exonuclease V gamma chain,"Replication, recombination and repair",,,CP008706.1,AKA33217.1,ABUW_RS17140,NZ_CP008706.1,
ABUW_3524,ABUW_3524,3580463,3580969,+,hypothetical protein,Function unknown,,,CP008706.1,AKA33218.1,ABUW_RS17145,NZ_CP008706.1,
ABUW_3525,pap,3580992,3582410,-,polyphosphate-AMP phosphotransferase,Function unknown,,,CP008706.1,AKA33219.1,ABUW_RS17150,NZ_CP008706.1,
ABUW_3526,ABUW_3526,3582618,3583325,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA33220.1,ABUW_RS17155,NZ_CP008706.1,
ABUW_3527,ubiE,3583474,3584421,+,ubiquinone/menaquinone biosynthesis methyltransferase UbiE,Coenzyme transport and metabolism,,,CP008706.1,AKA33221.1,ABUW_RS17160,NZ_CP008706.1,
ABUW_3528,ABUW_3528,3584433,3585101,+,hypothetical protein,Function unknown,,,CP008706.1,AKA33222.1,ABUW_RS17165,NZ_CP008706.1,
ABUW_3529,ubiB,3585114,3586733,+,2-octaprenylphenol hydroxylase of ubiquinone biosynthetic pathway,Function unknown,,,CP008706.1,AKA33223.1,ABUW_RS17170,NZ_CP008706.1,
ABUW_3530,ABUW_3530,3586858,3588180,+,oxidoreductase,Energy production and conversion,,,CP008706.1,AKA33224.1,ABUW_RS17175,NZ_CP008706.1,
ABUW_3531,hisIE,3588334,3589107,+,phosphoribosyl (-ATP%2C -AMP) pyrophosphohydrolase/cyclohydrolase,Amino acid transport and metabolism,,,CP008706.1,AKA33225.1,ABUW_RS17180,NZ_CP008706.1,
ABUW_3532,ABUW_3532,3589117,3590619,+,putative DNA helicase,"Replication, recombination and repair",,,CP008706.1,AKA33226.1,ABUW_RS17185,NZ_CP008706.1,
ABUW_3533,ABUW_3533,3590643,3592025,+,putative ATP binding site,Function unknown,,,CP008706.1,AKA33227.1,ABUW_RS17190,NZ_CP008706.1,
ABUW_3534,phaAB,3592352,3595189,+,pH adaptation potassium efflux system transmembrane protein A,Energy production and conversion,,,CP008706.1,AKA33228.1,ABUW_RS17195,NZ_CP008706.1,
ABUW_3535,phaC,3595186,3595554,+,pH adaptation potassium efflux system protein C,Inorganic ion transport and metabolism,,AbaM,CP008706.1,AKA33229.1,ABUW_RS17200,NZ_CP008706.1,
ABUW_3536,phaD,3595554,3597365,+,pH adaptation potassium efflux system transmembrane protein D,Energy production and conversion,,AbaM,CP008706.1,AKA33230.1,ABUW_RS17205,NZ_CP008706.1,
ABUW_3537,phaE,3597368,3597895,+,pH adaptation potassium efflux system transmembrane protein E,Inorganic ion transport and metabolism,,AbaM,CP008706.1,AKA33231.1,ABUW_RS17210,NZ_CP008706.1,
ABUW_3538,phaF,3597892,3598167,+,pH adaptation potassium efflux system protein F,Inorganic ion transport and metabolism,,,CP008706.1,AKA33232.1,ABUW_RS17215,NZ_CP008706.1,
ABUW_3539,phaG,3598180,3598584,+,pH adaptation potassium efflux system protein G,Inorganic ion transport and metabolism,,,CP008706.1,AKA33233.1,ABUW_RS17220,NZ_CP008706.1,
ABUW_3540,rbfA,3598641,3599042,-,ribosome-binding factor A,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33234.1,ABUW_RS17225,NZ_CP008706.1,
ABUW_3541,infB,3599042,3601741,-,translation initiation factor IF-2,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33235.1,ABUW_RS17230,NZ_CP008706.1,
ABUW_3542,nusA,3601752,3603236,-,transcription elongation factor NusA,Transcription,,,CP008706.1,AKA33236.1,ABUW_RS17235,NZ_CP008706.1,
ABUW_3543,ABUW_3543,3603274,3603798,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33237.1,ABUW_RS17240,NZ_CP008706.1,
ABUW_3547,secG,3604440,3604769,-,preprotein translocase iisp family auxillary membrane component,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA33238.1,ABUW_RS17260,NZ_CP008706.1,
ABUW_3548,tpiA,3604782,3605576,-,triose-phosphate isomerase,Carbohydrate transport and metabolism,,,CP008706.1,AKA33239.1,ABUW_RS17265,NZ_CP008706.1,
ABUW_3549,pilB,3605867,3607579,+,type IV-A pilus assembly ATPase PilB,Cell motility,,,CP008706.1,AKA33240.1,ABUW_RS17270,NZ_CP008706.1,
ABUW_3550,pilC,3607609,3608835,+,pilin biogenesis protein,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA33241.1,ABUW_RS17275,NZ_CP008706.1,
ABUW_3551,pilD,3608835,3609695,+,type IV pilus prepilin peptidase PilD,Cell motility,,,CP008706.1,AKA33242.1,,,
ABUW_3552,coaE,3609697,3610293,+,dephospho-CoA kinase,Coenzyme transport and metabolism,,,CP008706.1,AKA33243.1,ABUW_RS17285,NZ_CP008706.1,
ABUW_3553,ABUW_3553,3610290,3611204,-,integral membrane protein DUF6,Amino acid transport and metabolism,,,CP008706.1,AKA33244.1,ABUW_RS17290,NZ_CP008706.1,
ABUW_3554,ABUW_3554,3611240,3611989,-,RNA methyltransferase%2C TrmH family%2C group 3,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33245.1,ABUW_RS17295,NZ_CP008706.1,
ABUW_3555,ABUW_3555,3612091,3612417,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33246.1,ABUW_RS17300,NZ_CP008706.1,
ABUW_3556,ABUW_3556,3612494,3613804,-,tetratricopeptide repeat domain protein,Function unknown,,,CP008706.1,AKA33247.1,ABUW_RS17305,NZ_CP008706.1,
ABUW_3557,recN,3613919,3615586,+,DNA repair protein RecN,"Replication, recombination and repair",,,CP008706.1,AKA33248.1,ABUW_RS17310,NZ_CP008706.1,
ABUW_3558,ABUW_3558,3615713,3616267,+,hypothetical protein,Transcription,,,CP008706.1,AKA33249.1,ABUW_RS17315,NZ_CP008706.1,
ABUW_3559,ABUW_3559,3616267,3616707,+,hypothetical protein,"Replication, recombination and repair",,,CP008706.1,AKA33250.1,ABUW_RS17320,NZ_CP008706.1,
ABUW_3560,ABUW_3560,3616764,3617765,-,HlyD family secretion protein,Defense mechanisms,,,CP008706.1,AKA33251.1,ABUW_RS17325,NZ_CP008706.1,
ABUW_3561,ABUW_3561,3617805,3618011,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33252.1,ABUW_RS17330,NZ_CP008706.1,
ABUW_3562,ABUW_3562,3618004,3620103,-,putative fusaric acid resistance protein,Function unknown,,,CP008706.1,AKA33253.1,ABUW_RS17335,NZ_CP008706.1,
ABUW_3563,ABUW_3563,3620599,3621372,+,transcriptional regulator%2C IclR family,Transcription,,,CP008706.1,AKA33254.1,ABUW_RS17340,NZ_CP008706.1,
ABUW_3564,alkB,3621567,3622178,-,DNA repair system,"Replication, recombination and repair",,,CP008706.1,AKA33255.1,ABUW_RS17345,NZ_CP008706.1,
ABUW_3565,ada,3622175,3623029,-,methylated-DNA--protein-cysteine methyltransferase transcription regulator,Transcription,,,CP008706.1,AKA33256.1,ABUW_RS17350,NZ_CP008706.1,
ABUW_3566,pgsA,3623152,3623739,-,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Lipid transport and metabolism,,,CP008706.1,AKA33257.1,ABUW_RS17355,NZ_CP008706.1,
ABUW_3567,ABUW_3567,3623858,3624652,-,acyl-CoA thioesterase II,Lipid transport and metabolism,,,CP008706.1,AKA33258.1,ABUW_RS17360,NZ_CP008706.1,
ABUW_3568,uvrC,3624773,3626581,-,excinuclease ABC%2C C subunit (EsvL),"Replication, recombination and repair",,,CP008706.1,AKA33259.1,ABUW_RS17365,NZ_CP008706.1,
ABUW_3569,ABUW_3569,3626706,3627236,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA33260.1,ABUW_RS17370,NZ_CP008706.1,
ABUW_3570,lpxO,3627409,3628323,-,beta-hydroxylase,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA33261.1,ABUW_RS17375,NZ_CP008706.1,
ABUW_3571,ABUW_3571,3628500,3629519,-,lipoprotein%2C putative,No COG annotation,,,CP008706.1,AKA33262.1,ABUW_RS17380,NZ_CP008706.1,
ABUW_3572,fadB,3629909,3632062,+,fatty oxidation complex%2C alpha subunit FadB,Lipid transport and metabolism,,,CP008706.1,AKA33263.1,ABUW_RS17385,NZ_CP008706.1,
ABUW_3573,fadA,3632075,3633247,+,acetyl-CoA C-acyltransferase FadA,Lipid transport and metabolism,,,CP008706.1,AKA33264.1,ABUW_RS17390,NZ_CP008706.1,
ABUW_3574,ABUW_3574,3633292,3633783,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA33265.1,ABUW_RS17395,NZ_CP008706.1,
ABUW_3575,ABUW_3575,3634022,3634582,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33266.1,ABUW_RS17400,NZ_CP008706.1,
ABUW_3576,ABUW_3576,3634741,3635106,+,transcriptional regulator MerR family,Transcription,,,CP008706.1,AKA33267.1,ABUW_RS17405,NZ_CP008706.1,
ABUW_3577,ABUW_3577,3635128,3635886,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA33268.1,ABUW_RS17410,NZ_CP008706.1,
ABUW_3578,ABUW_3578,3636064,3636768,+,DSBA oxidoreductase,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA33269.1,ABUW_RS17415,NZ_CP008706.1,
ABUW_3579,ABUW_3579,3637127,3638266,+,hypothetical protein,No COG annotation,,ABUW_1645,CP008706.1,AKA33270.1,ABUW_RS17420,NZ_CP008706.1,
ABUW_3580,ABUW_3580,3638388,3639290,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA33271.1,ABUW_RS17425,NZ_CP008706.1,
ABUW_3581,htpG,3639374,3641293,-,chaperone protein HtpG,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA33272.1,ABUW_RS17430,NZ_CP008706.1,
ABUW_3582,ABUW_3582,3641396,3641752,-,hypothetical protein,Carbohydrate transport and metabolism,,,CP008706.1,AKA33273.1,ABUW_RS17435,NZ_CP008706.1,
ABUW_3583,ABUW_3583,3641934,3642515,-,putative outer membrane protein W,Cell wall/membrane/envelope biogenesis,,AbaM,CP008706.1,AKA33274.1,ABUW_RS17440,NZ_CP008706.1,
ABUW_3584,ABUW_3584,3642842,3644266,-,Na+/H+ antiporter NhaC,Function unknown,,,CP008706.1,AKA33275.1,ABUW_RS17445,NZ_CP008706.1,
ABUW_3585,ABUW_3585,3644371,3645243,-,short chain dehydrogenase,Function unknown,,,CP008706.1,AKA33276.1,ABUW_RS17450,NZ_CP008706.1,
ABUW_3586,ABUW_3586,3645367,3645864,+,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA33277.1,ABUW_RS17455,NZ_CP008706.1,
ABUW_3587,ABUW_3587,3645893,3646249,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA33278.1,ABUW_RS17460,NZ_CP008706.1,
ABUW_3588,ABUW_3588,3646463,3646828,-,lipoprotein%2C putative,No COG annotation,,,CP008706.1,AKA33279.1,ABUW_RS17465,NZ_CP008706.1,
ABUW_3589,rpoC,3646995,3651188,-,DNA-directed RNA polymerase%2C beta' subunit,Transcription,,,CP008706.1,AKA33280.1,ABUW_RS17470,NZ_CP008706.1,
ABUW_3590,rpoB,3651275,3655363,-,DNA-directed RNA polymerase%2C beta subunit,Transcription,,,CP008706.1,AKA33281.1,ABUW_RS17475,NZ_CP008706.1,
ABUW_3591,rplL,3655669,3656040,-,ribosomal protein L7/L12,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33282.1,ABUW_RS17480,NZ_CP008706.1,
ABUW_3592,rplJ,3656083,3656589,-,ribosomal protein L10,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33283.1,ABUW_RS17485,NZ_CP008706.1,
ABUW_3593,rplA,3656909,3657604,-,ribosomal protein L1,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33284.1,ABUW_RS17490,NZ_CP008706.1,
ABUW_3594,rplK,3657608,3658036,-,ribosomal protein L11,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33285.1,ABUW_RS17495,NZ_CP008706.1,
ABUW_3595,nusG,3658145,3658678,-,transcription termination/antitermination factor NusG,Transcription,,,CP008706.1,AKA33286.1,ABUW_RS17500,NZ_CP008706.1,
ABUW_3596,secE,3658686,3659126,-,preprotein translocase%2C SecE subunit,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA33287.1,ABUW_RS17505,NZ_CP008706.1,
