,start,stop,strand,gene_name,length,operon,COG,gene_product,Unnamed: 9,Unnamed: 10,Unnamed: 11,regulator
b3790,3974466,3975141,+,wecD,675,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,Transcription,dTDP-fucosamine acetyltransferase,,,,"nac,nsrR,rpoD"
b3791,3975145,3976276,+,wecE,1131,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,Amino acid transport and metabolism,dTDP-4-dehydro-6-deoxy-D-glucose transaminase,,,,"nac,nsrR,rpoD"
b3792,3976277,3977528,+,wzxE,1251,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,Cell wall/membrane/envelope biogenesis,lipid III flippase,,,,"nac,nsrR,rpoD"
b3793,3978600,3979953,+,wzyE,1353,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,Cell wall/membrane/envelope biogenesis,predicted Wzy protein involved in ECA polysaccharide chain elongation,,,,"nac,nsrR,rpoD"
b3794,3979955,3980696,+,wecG,741,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,Cell wall/membrane/envelope biogenesis,UDP-N-acetyl-D-mannosaminuronic acid transferase,,,,"nac,nsrR,rpoD"
b3795,3980886,3982272,+,yifK,1386,yifK,Amino acid transport and metabolism,"putative transport protein, amino acid transporter family",,,,
b3800,3982957,3984193,+,aslB,1236,aslB,Function unknown,predicted anaerobic sulfatase maturation enzyme,,,,"rob,rpoN"
b3801,3984351,3986007,-,aslA,1656,aslA,Inorganic ion transport and metabolism,arylsulfatase,,,,
b3802,3986685,3987882,-,hemY,1197,hemCDXY,Coenzyme transport and metabolism,predicted protoheme IX synthesis protein,,,,
b3803,3987884,3989066,-,hemX,1182,hemCDXY,Coenzyme transport and metabolism,conserved protein,,,,
b3804,3989087,3989828,-,hemD,741,hemCDXY,Coenzyme transport and metabolism,uroporphyrinogen III synthase,,,,
b3805,3989824,3990766,-,hemC,942,hemCDXY,Coenzyme transport and metabolism,hydroxymethylbilane synthase,,,,
b3806,3991152,3993699,+,cyaA,2547,cyaA,Nucleotide transport and metabolism,adenylate cyclase,,,,"crp,rpoD"
b3807,3993738,3994059,-,cyaY,321,cyaY,Inorganic ion transport and metabolism,frataxin CyaY,,,,
b3809,3994761,3995586,+,dapF,825,yifL-dapF-yigA-xerC-yigB,Amino acid transport and metabolism,diaminopimelate epimerase,,,,rpoD
b3810,3995582,3996290,+,yigA,708,yifL-dapF-yigA-xerC-yigB,Function unknown,conserved protein,,,,rpoD
b3811,3996286,3997183,+,xerC,897,yifL-dapF-yigA-xerC-yigB,"Replication, recombination and repair",site-specific tyrosine recombinase,,,,rpoD
b3812,3997182,3997899,+,yigB,717,yifL-dapF-yigA-xerC-yigB,Function unknown,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,,,,rpoD
b3813,3997982,4000145,+,uvrD,2163,uvrD,"Replication, recombination and repair",ssDNA translocase and dsDNA helicase - DNA helicase II,,,,"lexA,rpoD"
b3816,4001425,4002376,+,corA,951,corA,Inorganic ion transport and metabolism,Ni<sup>2+</sup> / Co<sup>2+</sup> / Mg<sup>2+</sup> transporter,,,,rpoD
b3817,4002418,4002799,-,yigF,381,yigGF,Function unknown,conserved inner membrane protein,,,,arcA
b3819,4003287,4004178,-,rarD,891,rarD,Function unknown,inner membrane protein RarD,,,,
b3820,4004229,4004697,-,yigI,468,yigI,"Secondary metabolites biosynthesis, transport and catabolism",conserved protein,,,,"arcA,nac"
b3821,4004861,4005731,+,pldA,870,pldA,Cell wall/membrane/envelope biogenesis,outer membrane phospholipase,,,,"arcA,nac,rpoD"
b3822,4005863,4007693,+,recQ,1830,recQ,"Replication, recombination and repair",ATP-dependent DNA helicase,,,,"lexA,rpoD"
b3823,4007756,4008377,+,rhtC,621,rhtC,Amino acid transport and metabolism,RhtC threonine Rht Transporter,,,,
b3824,4008438,4009059,-,rhtB,621,rhtB,Amino acid transport and metabolism,homoserine / homoserine lactone exporter,,,,
b3825,4009169,4010192,+,pldB,1023,pldB-yigL,Lipid transport and metabolism,lysophospholipase L2,,,,
b3826,4010199,4011000,+,yigL,801,pldB-yigL,Function unknown,phosphosugar phosphatase,,,,
b3827,4011075,4011975,+,yigM,900,bioP,Amino acid transport and metabolism,biotin transporter,,,,
b3828,4011862,4012816,-,metR,954,metR,Transcription,MetR DNA-binding transcriptional dual regulator,,,,"metJ,metR,nac,oxyR"
b3829,4013052,4015314,+,metE,2262,metE,Amino acid transport and metabolism,cobalamin-independent homocysteine transmethylase,,,,"cra,metJ,metR,nac,oxyR"
b3830,4015353,4016169,-,ysgA,816,ysgA,"Secondary metabolites biosynthesis, transport and catabolism",predicted hydrolase,,,,"crp,fnr,rpoD"
b3831,4016430,4017192,+,udp,762,udp,Nucleotide transport and metabolism,uridine phosphorylase,,,,"crp,cytR,rpoD"
b3832,4017332,4018760,+,rmuC,1428,rmuC,Function unknown,predicted recombination limiting protein,,,,"crp,fur,ybiH"
b3833,4018854,4019610,+,ubiE,756,ubiEJB,Coenzyme transport and metabolism,"bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase and S-adenosylmethionine:2-DMK methyltransferase",,,,
b3834,4019623,4020229,+,ubiJ,606,ubiEJB,Function unknown,conserved protein involved in ubiquinone-8 biosynthesis,,,,
b3835,4020225,4021866,+,ubiB,1641,ubiEJB,Function unknown,predicted protein kinase involved in ubiquinone biosynthesis,,,,
b3836,4021944,4022214,+,tatA,270,tatABCD,"Intracellular trafficking, secretion, and vesicular transport",twin arginine protein translocation system - TatA protein,,,,rpoD
b3838,4022217,4022733,+,tatB,516,tatABCD,"Intracellular trafficking, secretion, and vesicular transport",twin arginine protein translocation system - TatB protein,,,,rpoD
b3839,4022735,4023512,+,tatC,777,tatABCD,"Intracellular trafficking, secretion, and vesicular transport",twin arginine protein translocation system - TatC protein,,,,rpoD
b3842,4024332,4024821,-,rfaH,489,rfaH,Transcription,RfaH transcriptional antiterminator,,,,
b3843,4024987,4026481,+,ubiD,1494,ubiD,Coenzyme transport and metabolism,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,,,,
b3844,4026526,4027228,+,fre,702,fre,Energy production and conversion,riboflavin reductase/riboflavin reductase/FMN reductase/FAD reductase,,,,
b3845,4027608,4028772,-,fadA,1164,fadBA,Lipid transport and metabolism,3-ketoacyl-CoA thiolase,,,,"arcA,fadR,fis,rpoD"
b3846,4028781,4030971,-,fadB,2190,fadBA,Lipid transport and metabolism,"dodecenoyl-CoA &delta;-isomerase, enoyl-CoA hydratase, 3-hydroxybutyryl-CoA epimerase, 3-hydroxyacyl-CoA dehydrogenase",,,,"arcA,fadR,fis,rpoD"
b3847,4031160,4032492,+,pepQ,1332,pepQ-yigZ-trkH-hemG,Amino acid transport and metabolism,Xaa-Pro dipeptidase,,,,arcA
b3848,4032491,4033106,+,yigZ,615,pepQ-yigZ-trkH-hemG,Function unknown,IMPACT family member YigZ,,,,arcA
b3849,4033144,4034596,+,trkH,1452,pepQ-yigZ-trkH-hemG,Inorganic ion transport and metabolism,K<sup>+</sup> transporter TrkH,,,,"arcA,yeiE"
b3850,4034607,4035153,+,hemG,546,pepQ-yigZ-trkH-hemG,Coenzyme transport and metabolism,protoporphyrinogen oxidase,,,,arcA
b3856,4040905,4041433,-,mobB,528,mobAB,Coenzyme transport and metabolism,molybdopterin-guanine dinucleotide biosynthesis adaptor protein,,,,
b3857,4041414,4041999,-,mobA,585,mobAB,Coenzyme transport and metabolism,bis(molybdenum cofactor) synthase/bis(molybdenum cofactor) guanylyltransferase/molybdenum cofactor guanylyltransferase,,,,
b3858,4042068,4042338,+,yihD,270,yihD,Function unknown,conserved protein,,,,nac
b3859,4042414,4043401,+,srkA,987,srkA-dsbA,Function unknown,serine/threonine protein kinase,,,,"cpxR,nac,rpoD"
b3860,4043417,4044044,+,dsbA,627,srkA-dsbA,"Posttranslational modification, protein turnover, chaperones",protein disulfide oxidoreductase - DsbA<sub>reduced</sub>,,,,"cpxR,nac,rpoD"
b3861,4044198,4045629,+,yihF,1431,yihF,Function unknown,putative GTP-binding protein,,,,
b3862,4045669,4046602,-,yihG,933,yihG,Lipid transport and metabolism,predicted endonuclease,,,,rpoS
b3863,4046965,4049752,+,polA,2787,polA,"Replication, recombination and repair","DNA polymerase I, 5' --> 3' polymerase, 5' --> 3'  and 3' --> 5' exonuclease",,,,dnaA
b3865,4050132,4050765,-,yihA,633,yihA,Function unknown,cell division protein, predicted checkpoint GTPase,,,
b3866,4051346,4051856,+,yihI,510,yihI,Function unknown,GAP-like protein that activates GTPase activity of Der,,,,rpoD
b3867,4052044,4053418,+,hemN,1374,hemN,Coenzyme transport and metabolism,coproporphyrinogen III dehydrogenase,,,,rpoD
b3868,4053868,4055278,-,glnG,1410,glnALG,Signal transduction mechanisms,NtrC transcriptional dual regulator,,,,"crp,fis,ntrC,rpoD,rpoN"
b3869,4055289,4056339,-,glnL,1050,glnALG,Signal transduction mechanisms,NtrB,,,,"crp,fis,ntrC,rpoD,rpoN"
b3870,4056624,4058034,-,glnA,1410,glnALG,Amino acid transport and metabolism,glutamine synthetase,,,,"crp,fis,ntrC,rpoD,rpoN"
b3871,4058406,4060230,+,typA,1824,bipA,Signal transduction mechanisms,"ribosome-dependent GTPase, ribosome assembly factor",,,,
b3872,4060446,4061157,+,yihL,711,yihLM,Transcription,YihL putative transcriptional regulator,,,,
b3873,4061164,4062145,+,yihM,981,yihLM,Function unknown,conserved protein,,,,
b3874,4062246,4063512,+,yihN,1266,yihN,Carbohydrate transport and metabolism,"putative transport protein, major facilitator superfamily",,,,yeiE
b3875,4063602,4064295,-,ompL,693,ompL,Cell wall/membrane/envelope biogenesis,predicted outer membrane porin L,,,,
b3876,4064362,4065766,-,yihO,1404,yihPO,Carbohydrate transport and metabolism,putative sulfoquinovose transporter,,,,nac
b3877,4065808,4067194,-,yihP,1386,yihPO,Carbohydrate transport and metabolism,"putative 2,3-dihydroxypropane-1-sulfonate export protein",,,,nac
b3878,4067239,4069276,-,yihQ,2037,yihQ,Carbohydrate transport and metabolism,sulfoquinovosidase,,,,
b3879,4069474,4070401,-,yihR,927,yihR,Carbohydrate transport and metabolism,predicted aldose-1-epimerase,,,,
b3880,4070514,4071756,-,yihS,1242,yihUTS,Carbohydrate transport and metabolism,sulfoquinovose isomerase,,,,csqR
b3881,4071772,4072651,-,yihT,879,yihUTS,Carbohydrate transport and metabolism,6-deoxy-6-sulfofructose-1-phosphate aldolase,,,,csqR
b3882,4072674,4073571,-,yihU,897,yihUTS,Lipid transport and metabolism,3-sulfolactaldehyde reductase,,,,csqR
b3883,4073738,4074635,+,yihV,897,yihVW,Carbohydrate transport and metabolism,6-deoxy-6-sulfofructose kinase,,,,csqR
b3884,4074668,4075454,+,yihW,786,yihVW,Transcription,predicted DNA-binding transcriptional regulator,,,,csqR
b3885,4075552,4076152,+,yihX,600,yihXY-dtd-yiiD,Function unknown,&alpha,-D-glucose-1-phosphatase,,,
b3886,4076145,4077018,+,yihY,873,yihXY-dtd-yiiD,Function unknown,predicted inner membrane protein,,,,
b3887,4077014,4077452,+,dtd,438,yihXY-dtd-yiiD,"Translation, ribosomal structure and biogenesis",D-Tyr-tRNA<sup>Tyr</sup> deacylase,,,,
b3888,4077448,4078438,+,yiiD,990,yihXY-dtd-yiiD,Function unknown,predicted acetyltransferase,,,,
b3891,4080298,4081228,-,fdhE,930,fdoGHI-fdhE,"Posttranslational modification, protein turnover, chaperones",formate dehydrogenase formation protein,,,,"arcA,fur"
b3892,4081224,4081860,-,fdoI,636,fdoGHI-fdhE,Energy production and conversion,"formate dehydrogenase-O, &gamma; subunit",,,,"arcA,crp"
b3893,4081856,4082759,-,fdoH,903,fdoGHI-fdhE,Energy production and conversion,"formate dehydrogenase-O, &beta; subunit",,,,"arcA,crp"
b3894,4082771,4085822,-,fdoG,3051,fdoGHI-fdhE,Energy production and conversion,"formate dehydrogenase-O, &alpha; subunit",,,,"arcA,crp"
b3895,4086015,4086849,+,fdhD,834,fdhD,Energy production and conversion,sulfurtransferase for molybdenum cofactor sulfuration,,,,
b3896,4087001,4088057,+,yiiG,1056,yiiG,Function unknown,conserved protein,,,,
b3897,4088106,4089855,-,frvR,1749,frvABXR,Carbohydrate transport and metabolism,FrvR predicted transcriptional regulator,,,,
b3898,4089854,4090925,-,frvX,1071,frvABXR,Amino acid transport and metabolism,frv operon protein,,,,
b3899,4090914,4092366,-,frvB,1452,frvABXR,Carbohydrate transport and metabolism,predicted PTS permease - FrvB subunit,,,,
b3902,4093447,4094272,-,rhaD,825,rhaBAD,Carbohydrate transport and metabolism,rhamnulose-1-phosphate aldolase,,,,"crp,rhaS,rpoD,rpoN,yeiE"
b3903,4094722,4095982,-,rhaA,1260,rhaBAD,Carbohydrate transport and metabolism,L-rhamnose isomerase,,,,"crp,rhaS,rpoD"
b3904,4095978,4097448,-,rhaB,1470,rhaBAD,Carbohydrate transport and metabolism,L-rhamnulose kinase,,,,"crp,rhaS,rpoD"
b3905,4097735,4098572,+,rhaS,837,rhaSR,Transcription,RhaS transcriptional activator,,,,"crp,rhaR,rhaS,rpoD,rpoS"
b3906,4098645,4099494,+,rhaR,849,rhaSR,Transcription,RhaR transcriptional activator,,,,"crp,rhaR,rhaS,rpoD,rpoS"
b3907,4099490,4100525,-,rhaT,1035,rhaT,Amino acid transport and metabolism,rhamnose / lyxose:H<sup>+</sup> symporter,,,,"arcA,crp,rhaS,rpoD"
b3908,4100809,4101430,+,sodA,621,sodA,Inorganic ion transport and metabolism,superoxide dismutase (Mn),,,,"arcA,crp,fnr,fur,ihf,marA,oxyR,rob,rpoD,soxR,soxS"
b3909,4101689,4102673,+,kdgT,984,kdgT,Inorganic ion transport and metabolism,2-dehydro-3-deoxy-D-gluconate:H<sup>+</sup> symporter,,,,
b3910,4102821,4103496,+,yiiM,675,yiiM,Function unknown,protein involved in base analog detoxification,,,,yeiE
b3911,4103601,4104975,-,cpxA,1374,cpxRA,Signal transduction mechanisms,CpxA sensory histidine kinase,,,,"cpxR,rpoD,rpoS"
b3912,4104971,4105670,-,cpxR,699,cpxRA,Signal transduction mechanisms,CpxR transcriptional dual regulator,,,,"cpxR,rpoD,rpoS"
b3915,4106468,4107371,+,fieF,903,fieF,Inorganic ion transport and metabolism,Zn<sup>2+</sup> / Fe<sup>2+</sup> / Cd<sup>2+</sup> exporter,,,,
b3916,4107551,4108514,+,pfkA,963,pfkA,Carbohydrate transport and metabolism,6-phosphofructokinase I,,,,"cra,nac,rpoD,rpoS"
b3917,4108833,4109823,+,sbp,990,sbp,Inorganic ion transport and metabolism,sulfate / thiosulfate ABC transporter - periplasmic binding protein Sbp,,,,
b3918,4109929,4110685,+,cdh,756,cdh,Lipid transport and metabolism,CDP-diacylglycerol pyrophosphatase,,,,fur
b3919,4110739,4111507,-,tpiA,768,tpiA,Carbohydrate transport and metabolism,triosephosphate isomerase,,,,"cra,rpoD,rpoS"
b3920,4111614,4112214,-,yiiQ,600,yiiQ,Function unknown,conserved protein,,,,
b3921,4112314,4112755,+,yiiR,441,yiiR,Function unknown,conserved inner membrane protein,,,,
b3922,4112966,4113266,+,yiiS,300,yiiS-uspD,Function unknown,conserved protein,,,,"gadX,rpoE,ydeO,yeiE"
b3923,4113292,4113721,+,uspD,429,yiiS-uspD,Signal transduction mechanisms,stress protein involved in resistance to UV irradiation,,,,"gadX,rpoE,ydeO"
b3924,4113725,4114472,-,fpr,747,fpr,Energy production and conversion,flavodoxin-NADP<sup>+</sup> reductase/ferredoxin-NADP<sup>+</sup> reductase,,,,"marA,rpoD,soxS"
b3925,4114568,4115579,-,glpX,1011,glpFKX,Carbohydrate transport and metabolism,"fructose 1,6-bisphosphatase II",,,,"crp,glpR,rpoD"
b3926,4115713,4117222,-,glpK,1509,glpFKX,Energy production and conversion,glycerol kinase,,,,"crp,glpR,rpoD"
b3927,4117244,4118090,-,glpF,846,glpFKX,Carbohydrate transport and metabolism,glycerol channel GlpF,,,,"crp,glpR,rpoD"
b3928,4118514,4118760,+,zapB,246,zapB,Function unknown,cell division factor ZapB,,,,fur
b3929,4118844,4119330,-,rraA,486,menA-rraA,Coenzyme transport and metabolism,ribonuclease E inhibitor protein A,,,,"rpoD,rpoS"
b3930,4119422,4120349,-,menA,927,menA-rraA,Coenzyme transport and metabolism,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",,,,rpoD
b3931,4120415,4121747,-,hslU,1332,hslVU,"Posttranslational modification, protein turnover, chaperones",ATPase component of the HslVU protease,,,,rpoH
b3932,4121756,4122287,-,hslV,531,hslVU,"Posttranslational modification, protein turnover, chaperones",peptidase component of the HslVU protease,,,,rpoH
b3933,4122379,4123339,-,ftsN,960,ftsN,"Cell cycle control, cell division, chromosome partitioning",essential cell division protein FtsN,,,,
b3934,4123430,4124456,-,cytR,1026,cytR,Transcription,CytR DNA-binding transcriptional repressor,,,,"crp,cytR,rpoD"
b3935,4124611,4126810,-,priA,2199,priA,"Replication, recombination and repair",primosome factor N',,,,
b3936,4127012,4127225,+,rpmE,213,rpmE,"Translation, ribosomal structure and biogenesis",50S ribosomal subunit protein L31,,,,rpoH
b3937,4127285,4127894,-,yiiX,609,yiiX,Function unknown,conserved hypothetical protein of the NlpC/P60 peptidase superfamily,,,,
b3938,4128077,4128395,-,metJ,318,metJ,Transcription,MetJ transcriptional repressor,,,,"fur,rpoD"
b3939,4128671,4129832,+,metB,1161,metBL,Amino acid transport and metabolism,<i>O</i>-succinylhomoserine(thiol)-lyase / <i>O</i>-succinylhomoserine lyase,,,,"hypT,metJ,phoP,rpoD"
b3940,4129834,4132267,+,metL,2433,metBL,Amino acid transport and metabolism,aspartate kinase / homoserine dehydrogenase,,,,"hypT,metJ,phoP,rpoD"
b3941,4132615,4133506,+,metF,891,metF,Amino acid transport and metabolism,"5,10-methylenetetrahydrofolate reductase",,,,"metJ,rpoD"
b3942,4133834,4136015,+,katG,2181,katG,Inorganic ion transport and metabolism,hydroperoxidase I,,,,"fnr,fur,oxyR,rpoD"
b3943,4136107,4137013,+,yijE,906,yijE,Function unknown,cystine exporter,,,,
b3945,4137931,4139035,-,gldA,1104,ptsA-fsaB-gldA,Energy production and conversion,"L-1,2-propanediol dehydrogenase / glycerol dehydrogenase",,,,
b3946,4139045,4139708,-,fsaB,663,ptsA-fsaB-gldA,Carbohydrate transport and metabolism,fructose 6-phosphate aldolase 2,,,,
b3947,4139719,4142221,-,frwA,2502,ptsA-fsaB-gldA,Carbohydrate transport and metabolism,fused predicted PTS enzyme : HPr component / enzyme I component / enzyme IIA component,,,,
b3949,4142529,4143609,+,frwC,1080,frwCB,Carbohydrate transport and metabolism,predicted PTS permease - FrwC subunit,,,,
b3951,4143994,4146292,+,pflD,2298,pflDC,Energy production and conversion,formate acetyltransferase 2,,,,
b3952,4146257,4147136,+,pflC,879,pflDC,"Posttranslational modification, protein turnover, chaperones",probable pyruvate formate lyase 2 activating enzyme,,,,yddM
b3954,4147465,4148317,-,yijO,852,yijO,Transcription,predicted DNA-binding transcriptional regulator,,,,nac
b3955,4148531,4150265,-,eptC,1734,eptC,Function unknown,phosphoethanolamine transferase EptC,,,,
b3956,4150446,4153098,-,ppc,2652,ppc,Energy production and conversion,phosphoenolpyruvate carboxylase,,,,"cra,nac"
b3957,4153695,4154847,-,argE,1152,argE,Amino acid transport and metabolism,acetylornithine deacetylase,,,,"argR,rpoD"
b3958,4155000,4156005,+,argC,1005,argCBH,Amino acid transport and metabolism,N-acetylglutamylphosphate reductase,,,,"argR,rpoD"
b3959,4156012,4156789,+,argB,777,argCBH,Amino acid transport and metabolism,acetylglutamate kinase,,,,"argR,rpoD"
b3960,4156849,4158223,+,argH,1374,argCBH,Amino acid transport and metabolism,argininosuccinate lyase,,,,"argR,rpoD"
b3961,4158489,4159407,+,oxyR,918,oxyR,Transcription,OxyR DNA-binding transcriptional dual regulator,,,,"crp,oxyR,rpoD,rpoS"
b3962,4159389,4160790,-,sthA,1401,sthA,Energy production and conversion,"pyridine nucleotide transhydrogenase, soluble",,,,arcA
b3963,4161123,4161771,+,fabR,648,fabR-yijD,Transcription,FabR DNA-binding transcriptional repressor,,,,arcA
b3964,4161770,4162130,+,yijD,360,fabR-yijD,Function unknown,conserved inner membrane protein,,,,arcA
b3965,4162169,4163270,-,trmA,1101,trmA,"Translation, ribosomal structure and biogenesis",tRNA m<sup>5</sup>U54 methyltransferase,,,,"fis,rpoH"
b3966,4163638,4165483,+,btuB,1845,btuB-murI,Inorganic ion transport and metabolism,vitamin B12 / E colicin / bacteriophage BF23 outer membrane porin BtuB,,,,"adenosylcobalamin,gadX,rpoD"
b3967,4165427,4166285,+,murI,858,btuB-murI,Cell wall/membrane/envelope biogenesis,glutamate racemase,,,,"adenosylcobalamin,gadX,rpoD"
b3972,4172056,4173085,+,murB,1029,murB-birA,Cell wall/membrane/envelope biogenesis,UDP-<i>N</i>-acetylenolpyruvoylglucosamine reductase,,,,
b3973,4173081,4174047,+,birA,966,murB-birA,Coenzyme transport and metabolism,BirA transcriptional repressor / biotin-[acetyl-CoA-carboxylase] ligase,,,,
b3974,4174075,4175026,-,coaA,951,coaA,Coenzyme transport and metabolism,pantothenate kinase,,,,
b3980,4175943,4177128,+,tufB,1185,thrU-tyrU-glyT-thrT-tufB,"Translation, ribosomal structure and biogenesis",elongation factor Tu,,,,"fis,rpoD"
b3981,4177357,4177741,+,secE,384,secE-nusG,"Intracellular trafficking, secretion, and vesicular transport",Sec YEG translocase - SecE subunit,,,,
b3982,4177742,4178288,+,nusG,546,secE-nusG,Transcription,transcription termination factor NusG,,,,
b3983,4178446,4178875,+,rplK,429,rplKAJL-rpoBC,"Translation, ribosomal structure and biogenesis",50S ribosomal subunit protein L11,,,,
b3984,4178878,4179583,+,rplA,705,rplKAJL-rpoBC,"Translation, ribosomal structure and biogenesis",50S ribosomal subunit protein L1,,,,
b3985,4179995,4180493,+,rplJ,498,rplKAJL-rpoBC,"Translation, ribosomal structure and biogenesis",50S ribosomal subunit protein L10,,,,
b3986,4180559,4180925,+,rplL,366,rplKAJL-rpoBC,"Translation, ribosomal structure and biogenesis",50S ribosomal subunit protein L12,,,,
b3987,4181244,4185273,+,rpoB,4029,rplKAJL-rpoBC,Transcription,"RNA polymerase, &beta; subunit",,,,
b3988,4185349,4189573,+,rpoC,4224,rplKAJL-rpoBC,Transcription,"RNA polymerase, &beta;' subunit",,,,
