,gene_name,old_locus_tag,start,end,strand,gene_product,cog,uniprot,regulator,operon,length
b3876,yihO,,4064363,4065766,-,putative sulfoquinovose transporter,Carbohydrate transport and metabolism,P32136,Nac,yihPO,1404.0
b3877,yihP,,4065809,4067194,-,putative 2%2C3-dihydroxypropane-1-sulfonate export protein,Carbohydrate transport and metabolism,P32137,,yihPO,1386.0
b3878,yihQ,,4067240,4069276,-,sulfoquinovosidase,Carbohydrate transport and metabolism,P32138,"YdcN,YidZ,YbhD,YgfI,YdhB,YcaN,YdiP,YbeF,YjhI,Nac",yihQ,2037.0
b3879,yihR,,4069475,4070401,-,putative aldose 1-epimerase YihR,Carbohydrate transport and metabolism,P32139,YneJ,yihR,927.0
b3880,yihS,,4070515,4071756,-,sulfoquinovose isomerase,Carbohydrate transport and metabolism,P32140,"RpoD,CsqR",yihUTS,1242.0
b3881,yihT,,4071773,4072651,-,6-deoxy-6-sulfofructose-1-phosphate aldolase,Carbohydrate transport and metabolism,P32141,"RpoD,CsqR",yihUTS,879.0
b3882,yihU,,4072675,4073571,-,3-sulfolactaldehyde reductase,Lipid transport and metabolism,P0A9V8,"RpoD,CsqR",yihUTS,897.0
b3883,yihV,,4073739,4074635,+,6-deoxy-6-sulfofructose kinase,Nucleotide transport and metabolism,P32143,"RpoD,YihW,CsqR",yihVW,897.0
b3884,csqR,,4074669,4075454,+,putative DNA-binding transcriptional regulator YihW,Transcription,P32144,"RpoD,Crp,CsqR",yihVW,786.0
b3885,yihX,,4075553,4076152,+,alpha-D-glucose-1-phosphate phosphatase,Function unknown,P0A8Y3,ppGpp,yihXY-dtd-yiiD,600.0
b3886,yihY,,4076146,4077018,+,putative inner membrane protein,Function unknown,P0A8K8,ppGpp,yihXY-dtd-yiiD,873.0
b3887,dtd,,4077015,4077452,+,D-aminoacyl-tRNA deacylase,"Translation, ribosomal structure and biogenesis",P0A6M4,ppGpp,yihXY-dtd-yiiD,438.0
b3888,yiiD,,4077449,4078438,+,putative acetyltransferase YiiD,Transcription,P0ADQ2,ppGpp,yihXY-dtd-yiiD,990.0
b3890,yiiF,,4079751,4079969,+,protein YiiF,Transcription,P0AFU6,"YeiE,Nac",,
b3891,fdhE,,4080299,4081228,-,formate dehydrogenase formation protein,"Post-translational modification, protein turnover,and chaperones",P13024,SdhX,fdoGHI-fdhE,930.0
b3892,fdoI,,4081225,4081860,-,formate dehydrogenase O subunit gamma,Energy production and conversion,P0AEL0,SdhX,fdoGHI-fdhE,636.0
b3893,fdoH,,4081857,4082759,-,formate dehydrogenase O subunit beta,Energy production and conversion,P0AAJ5,SdhX,fdoGHI-fdhE,903.0
b3894,fdoG,,4082772,4085822,-,formate dehydrogenase O subunit alpha,Energy production and conversion,P32176,"YfeC,ryhB,YfeD,Nac,SdhX",fdoGHI-fdhE,3051.0
b3895,fdhD,,4086016,4086849,+,sulfurtransferase for molybdenum cofactor sulfuration,"Translation, ribosomal structure and biogenesis",P32177,Nac,fdhD,834.0
b3896,yiiG,,4087002,4088057,+,DUF3829 domain-containing lipoprotein YiiG,Function unknown,P32151,,yiiG,1056.0
b3897,frvR,,4088107,4089855,-,putative transcriptional regulator FrvR,Carbohydrate transport and metabolism,P32152,,frvABXR,1749.0
b3898,frvX,,4089855,4090925,-,peptidase M42 family protein,Carbohydrate transport and metabolism,P32153,,frvABXR,1071.0
b3899,frvB,,4090915,4092366,-,putative PTS enzyme IIBC component FrvB,Carbohydrate transport and metabolism,P32154,,frvABXR,1452.0
b3900,frvA,,4092377,4092823,-,putative PTS enzyme IIA component FrvA,Carbohydrate transport and metabolism,P32155,,,
b3901,rhaM,,4093124,4093438,-,L-rhamnose mutarotase,Carbohydrate transport and metabolism,P32156,,,
b3902,rhaD,,4093448,4094272,-,rhamnulose-1-phosphate aldolase,Carbohydrate transport and metabolism,P32169,"RpoD,YeiE,RpoN,Crp,RhaS",rhaBAD,825.0
b3903,rhaA,,4094723,4095982,-,L-rhamnose isomerase,Carbohydrate transport and metabolism,P32170,"RpoD,Crp,RhaS",rhaBAD,1260.0
b3904,rhaB,,4095979,4097448,-,rhamnulokinase,Nucleotide transport and metabolism,P32171,"RpoD,Crp,RhaS",rhaBAD,1470.0
b3905,rhaS,,4097736,4098572,+,DNA-binding transcriptional activator RhaS,Transcription,P09377,"RpoD,RpoS,Crp,RhaR,RhaS",rhaSR,837.0
b3906,rhaR,,4098646,4099494,+,DNA-binding transcriptional activator RhaR,Transcription,P09378,"RpoD,RpoS,Crp,RhaR,RhaS",rhaSR,849.0
b3907,rhaT,,4099491,4100525,-,rhamnose/lyxose:H(+) symporter,Amino acid transport and metabolism,P27125,"RpoD,ArcA,Crp,ppGpp,RhaS",rhaT,1035.0
b3908,sodA,,4100810,4101430,+,superoxide dismutase (Mn),Inorganic ion transport and metabolism,P00448,"RpoD,Rob,SoxR,fnrS,ArcA,Fnr,Crp,MarA,IHF,SoxS,Fur,ryhB",sodA,621.0
b3909,kdgT,,4101690,4102673,+,2-dehydro-3-deoxy-D-gluconate:H(+) symporter,"Intracellular trafficking, secretion, and vesicular transport",P0A712,GlaR,kdgT,984.0
b3910,yiiM,,4102822,4103496,+,2-amino-6-N-hydroxylaminopurine resistance protein,Function unknown,P32157,"YeiE,Lrp",yiiM,675.0
b3911,cpxA,,4103602,4104975,-,sensory histidine kinase CpxA,Signal transduction mechanisms,P0AE82,"RpoD,YcjW,RpoS,CpxR,micF",cpxRA,1374.0
b3912,cpxR,,4104972,4105670,-,DNA-binding transcriptional dual regulator CpxR,Transcription,P0AE88,"RpoD,RpoS,CpxR,micF",cpxRA,699.0
b4484,cpxP,,4105820,4106320,+,periplasmic protein CpxP,Cell motility,P0AE85,"RpoD,YidZ,CpxR,cpxQ",cpxPQ,501.0
b3915,fieF,,4106469,4107371,+,Zn(2(+))/Fe(2(+))/Cd(2(+)) exporter,Inorganic ion transport and metabolism,P69380,YdhB,fieF,903.0
b3916,pfkA,,4107552,4108514,+,6-phosphofructokinase I,Nucleotide transport and metabolism,P0A796,"RpoD,RpoS,Cra",pfkA,963.0
b3917,sbp,,4108834,4109823,+,sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp,Inorganic ion transport and metabolism,P0AG78,,sbp,990.0
b3918,cdh,,4109930,4110685,+,CDP-diacylglycerol diphosphatase,Lipid transport and metabolism,P06282,,cdh,756.0
b3919,tpiA,,4110740,4111507,-,triose-phosphate isomerase,Nucleotide transport and metabolism,P0A858,"RpoD,RpoS,Cra",tpiA,768.0
b3920,yiiQ,,4111615,4112214,-,DUF1454 domain-containing protein YiiQ,Function unknown,P32160,ppGpp,yiiQ,600.0
b3921,yiiR,,4112315,4112755,+,DUF805 domain-containing protein YiiR,Function unknown,P0AF34,,yiiR,441.0
b3922,yiiS,,4112967,4113266,+,DUF406 domain-containing protein YiiS,Function unknown,P32162,"YeiE,RpoE,YdeO,ppGpp",yiiS-uspD,300.0
b3923,uspD,,4113293,4113721,+,universal stress protein D,Signal transduction mechanisms,P0AAB8,"RpoE,YdeO,ppGpp",yiiS-uspD,429.0
b3924,fpr,,4113726,4114472,-,flavodoxin/ferredoxin-NADP(+) reductase,Energy production and conversion,P28861,"RpoD,ppGpp,MarA,SoxS",fpr,747.0
b3925,glpX,,4114569,4115579,-,fructose-1%2C6-bisphosphatase 2,Carbohydrate transport and metabolism,P0A9C9,"RpoD,Crp,GlpR",glpFKX,1011.0
b3926,glpK,,4115714,4117222,-,glycerol kinase,Nucleotide transport and metabolism,P0A6F3,"RpoD,Crp,GlpR,Nac",glpFKX,1509.0
b3927,glpF,,4117245,4118090,-,glycerol facilitator,Carbohydrate transport and metabolism,P0AER0,"RpoD,Crp,GlpR,spf",glpFKX,846.0
b3928,zapB,,4118515,4118760,+,cell division factor ZapB,"Cell cycle control, cell division, chromosome partitioning",P0AF36,,zapB,246.0
b3929,rraA,,4118845,4119330,-,ribonuclease E inhibitor protein A,Coenzyme transport and metabolism,P0A8R0,"RpoD,RpoS",menA-rraA,486.0
b3930,menA,,4119423,4120349,-,1%2C4-dihydroxy-2-naphthoate octaprenyltransferase,Coenzyme transport and metabolism,P32166,"RpoD,ppGpp,Lrp",menA-rraA,927.0
b3931,hslU,,4120416,4121747,-,ATPase component of the HslVU protease,"Post-translational modification, protein turnover,and chaperones",P0A6H5,RpoH,hslVU,1332.0
b3932,hslV,,4121757,4122287,-,peptidase component of the HslVU protease,"Post-translational modification, protein turnover,and chaperones",P0A7B8,RpoH,hslVU,531.0
b3933,ftsN,,4122380,4123339,-,cell division protein FtsN,"Cell cycle control, cell division, chromosome partitioning",P29131,,ftsN,960.0
b3934,cytR,,4123431,4124456,-,DNA-binding transcriptional repressor CytR,Transcription,P0ACN7,"RpoD,Crp,CytR",cytR,1026.0
b3935,priA,,4124612,4126810,-,primosome factor N',"Replication, recombination and repair",P17888,,priA,2199.0
b3936,rpmE,,4127013,4127225,+,50S ribosomal subunit protein L31,"Translation, ribosomal structure and biogenesis",P0A7M9,"RpoH,ppGpp,RpmE",rpmE,213.0
b3937,yiiX,,4127286,4127894,-,putative lipid binding hydrolase,Function unknown,P32167,ppGpp,yiiX,609.0
b3938,metJ,,4128078,4128395,-,DNA-binding transcriptional repressor MetJ,Transcription,P0A8U6,"RpoD,Fur",metJ,318.0
b3939,metB,,4128672,4129832,+,O-succinylhomoserine(thiol)-lyase/O-succinylhomoserine lyase,Amino acid transport and metabolism,P00935,"RpoD,PhoP,HypT,MetJ",metBL,1161.0
b3940,metL,,4129835,4132267,+,fused aspartate kinase/homoserine dehydrogenase 2,Amino acid transport and metabolism,P00562,"RpoD,PhoP,YcjW,HypT,MetJ",metBL,2433.0
b3941,metF,,4132616,4133506,+,5%2C10-methylenetetrahydrofolate reductase,Amino acid transport and metabolism,P0AEZ1,"RpoD,MetJ",metF,891.0
b3942,katG,,4133835,4136015,+,hydroperoxidase I,Inorganic ion transport and metabolism,P13029,"RpoD,Fur,Fnr,ppGpp,OxyR,Nac,SdhX",katG,2181.0
b3943,yijE,,4136108,4137013,+,cystine exporter,Amino acid transport and metabolism,P0ABT8,,yijE,906.0
b3944,yijF,,4137040,4137657,-,conserved protein YijF,Function unknown,P32668,,,
b3945,gldA,,4137932,4139035,-,L-1%2C2-propanediol dehydrogenase/glycerol dehydrogenase,Energy production and conversion,P0A9S5,,ptsA-fsaB-gldA,1104.0
b3946,fsaB,,4139046,4139708,-,fructose-6-phosphate aldolase 2,Carbohydrate transport and metabolism,P32669,,ptsA-fsaB-gldA,663.0
b3947,ptsA,,4139720,4142221,-,putative PTS multiphosphoryl transfer protein PtsA,Carbohydrate transport and metabolism,P32670,,ptsA-fsaB-gldA,2502.0
b3949,frwC,,4142530,4143609,+,putative PTS enzyme IIC component FrwC,Carbohydrate transport and metabolism,P32672,,frwCB,1080.0
b3950,frwB,,4143624,4143944,+,putative PTS enzyme IIB component FrwB,Carbohydrate transport and metabolism,P69816,YdhB,,
b3951,pflD,,4143995,4146292,+,putative formate acetyltransferase 2,Energy production and conversion,P32674,,pflDC,2298.0
b3952,pflC,,4146258,4147136,+,putative pyruvate formate-lyase 2 activating enzyme PflC,"Post-translational modification, protein turnover,and chaperones",P32675,YddM,pflDC,879.0
b3953,frwD,,4147138,4147479,+,putative PTS enzyme IIB component FrwD,Carbohydrate transport and metabolism,P32676,,,
b3954,yijO,,4147466,4148317,-,putative DNA-binding transcriptional regulator YijO,Transcription,P32677,Nac,yijO,852.0
b3955,eptC,,4148532,4150265,-,phosphoethanolamine transferase EptC,Function unknown,P0CB39,,eptC,1734.0
b3956,ppc,,4150447,4153098,-,phosphoenolpyruvate carboxylase,Coenzyme transport and metabolism,P00864,"YfeD,Cra,ppGpp,Nac",ppc,2652.0
b3957,argE,,4153696,4154847,-,acetylornithine deacetylase,Amino acid transport and metabolism,P23908,"RpoD,ArgR,ppGpp",argE,1152.0
b3958,argC,,4155001,4156005,+,N-acetylglutamylphosphate reductase,Amino acid transport and metabolism,P11446,"RpoD,ArgR,ppGpp",argCBH,1005.0
b3959,argB,,4156013,4156789,+,acetylglutamate kinase,Nucleotide transport and metabolism,P0A6C8,"RpoD,ArgR,ppGpp",argCBH,777.0
b3960,argH,,4156850,4158223,+,argininosuccinate lyase,Amino acid transport and metabolism,P11447,"RpoD,YidZ,ArgR,ppGpp",argCBH,1374.0
b3961,oxyR,,4158490,4159407,+,DNA-binding transcriptional dual regulator OxyR,Transcription,P0ACQ4,"RpoD,RpoS,Crp,OxyR",oxyR,918.0
b3962,sthA,,4159390,4160790,-,soluble pyridine nucleotide transhydrogenase,Energy production and conversion,P27306,"Lrp,ArcA,spf",sthA,1401.0
b3963,fabR,,4161067,4161771,+,DNA-binding transcriptional repressor FabR,Transcription,UPI00000D0AD7,,fabR-yijD,648.0
b3964,yijD,,4161771,4162130,+,conserved inner membrane protein YijD,Function unknown,P0AF40,,fabR-yijD,360.0
b3965,trmA,,4162170,4163270,-,tRNA m(5)U54 methyltransferase,"Translation, ribosomal structure and biogenesis",P23003,"YfeC,RpoH,Fis,ppGpp",trmA,1101.0
b3966,btuB,,4163639,4165483,+,cobalamin/cobinamide outer membrane transporter,Inorganic ion transport and metabolism,P06129,"RpoD,omrB,omrA,GadX,Adenosylcobalamin",btuB-murI,1845.0
b3967,murI,,4165428,4166285,+,glutamate racemase,Cell wall/membrane/envelope biogenesis,P22634,"RpoD,GadX,Adenosylcobalamin",btuB-murI,858.0
b3972,murB,,4172057,4173085,+,UDP-N-acetylenolpyruvoylglucosamine reductase,Cell wall/membrane/envelope biogenesis,P08373,,murB-birA,1029.0
b3973,birA,,4173082,4174047,+,DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA,Transcription,P06709,YidZ,murB-birA,966.0
b3974,coaA,,4174076,4175026,-,pantothenate kinase,Nucleotide transport and metabolism,P0A6I3,,coaA,951.0
b3980,tufB,,4175944,4177128,+,translation elongation factor Tu 2,"Translation, ribosomal structure and biogenesis",P0CE48,"RpoD,Fis,ppGpp",thrU-tyrU-glyT-thrT-tufB,1185.0
b3981,secE,,4177358,4177741,+,Sec translocon subunit SecE,"Intracellular trafficking, secretion, and vesicular transport",P0AG96,ppGpp,secE-nusG,384.0
b3982,nusG,,4177743,4178288,+,transcription termination factor NusG,Transcription,P0AFG0,"ppGpp,oxyS",secE-nusG,546.0
b3983,rplK,,4178447,4178875,+,50S ribosomal subunit protein L11,"Translation, ribosomal structure and biogenesis",P0A7J7,"ppGpp,RplA,DksA",rplKAJL-rpoBC,429.0
b3984,rplA,,4178879,4179583,+,50S ribosomal subunit protein L1,"Translation, ribosomal structure and biogenesis",P0A7L0,"ppGpp,RplA,DksA",rplKAJL-rpoBC,705.0
b3985,rplJ,,4179996,4180493,+,50S ribosomal subunit protein L10,"Translation, ribosomal structure and biogenesis",P0A7J3,"ppGpp,RplA,DksA",rplKAJL-rpoBC,498.0
b3986,rplL,,4180560,4180925,+,50S ribosomal subunit protein L12,"Translation, ribosomal structure and biogenesis",P0A7K2,"ppGpp,RplA,DksA",rplKAJL-rpoBC,366.0
b3987,rpoB,,4181245,4185273,+,RNA polymerase subunit beta,Transcription,P0A8V2,"ppGpp,RplA,DksA",rplKAJL-rpoBC,4029.0
b3988,rpoC,,4185350,4189573,+,RNA polymerase subunit beta',Transcription,P0A8T7,"RplA,DksA",rplKAJL-rpoBC,4224.0
b3989,yjaZ,,4189786,4190325,+,conserved protein YjaZ,No COG annotation,P27375,"RpoH,ppGpp",yjaZ,540.0
b3990,thiH,,4190735,4191868,-,2-iminoacetate synthase,Coenzyme transport and metabolism,P30140,Thiamine diphosphate,thiCEFSGH,1134.0
b3991,thiG,,4191865,4192635,-,1-deoxy-D-xylulose 5-phosphate:thiol sulfurtransferase,Coenzyme transport and metabolism,P30139,Thiamine diphosphate,thiCEFSGH,771.0
b4407,thiS,,4192637,4192837,-,sulfur carrier protein ThiS,Coenzyme transport and metabolism,O32583,Thiamine diphosphate,thiCEFSGH,201.0
b3992,thiF,,4192821,4193576,-,ThiS adenylyltransferase,Coenzyme transport and metabolism,P30138,Thiamine diphosphate,thiCEFSGH,756.0
b3993,thiE,,4193569,4194204,-,thiamine phosphate synthase,Coenzyme transport and metabolism,P30137,"YdcN,Thiamine diphosphate",thiCEFSGH,636.0
b3994,thiC,,4194204,4196099,-,phosphomethylpyrimidine synthase,Coenzyme transport and metabolism,P30136,"Lrp,ArcA,Thiamine diphosphate",thiCEFSGH,1896.0
b3995,rsd,,4196332,4196808,-,regulator of sigma D,Transcription,P0AFX4,"RpoD,RpoS,ArcA,ppGpp,McbR,RcdA,SlyA,SdiA,Lrp,Nac",rsd,477.0
b3996,nudC,,4196903,4197676,+,NADH pyrophosphatase,"Replication, recombination and repair",P32664,Nac,nudC-hemE-nfi,774.0
b3997,hemE,,4197716,4198780,+,uroporphyrinogen decarboxylase,Coenzyme transport and metabolism,P29680,,nudC-hemE-nfi,1065.0
b3998,nfi,,4198790,4199461,+,endonuclease V,"Replication, recombination and repair",P68739,,nudC-hemE-nfi,672.0
b3999,yjaG,,4199504,4200094,+,conserved protein YjaG,Function unknown,P32680,YeiE,yjaG,591.0
b4000,hupA,,4200281,4200553,+,DNA-binding protein HU-alpha,"Replication, recombination and repair",P0ACF0,"Crp,Fis,Nac",hupA,273.0
b4001,yjaH,,4200566,4201261,+,DUF1481 domain-containing protein YjaH,Function unknown,P32681,Nac,yjaH,696.0
b4002,zraP,,4201263,4201688,-,zinc responsive%2C periplasmic protein with chaperone activity,Cell motility,P0AAA9,"RpoN,ZraR",zraP,426.0
b4003,zraS,,4201926,4203323,+,sensory histidine kinase ZraS,Signal transduction mechanisms,P14377,"RpoN,Crp,ZraR",zraSR,1398.0
b4004,zraR,,4203320,4204645,+,DNA-binding transcriptional activator ZraR,Transcription,P14375,"RpoN,Crp,ZraR,GlaR",zraSR,1326.0
b4005,purD,,4204642,4205931,-,phosphoribosylamine--glycine ligase,Nucleotide transport and metabolism,P15640,"RpoD,PhoP,ppGpp,PurR,RbsR",purHD,1290.0
b4006,purH,,4205943,4207532,-,bifunctional AICAR transformylase/IMP cyclohydrolase,Nucleotide transport and metabolism,P15639,"RpoD,PhoP,ppGpp,PurR,RbsR",purHD,1590.0
b4011,yjaA,,4213234,4213617,+,stress response protein,Function unknown,P09162,,,
b4012,yjaB,,4213680,4214123,-,putative N-acetyltransferase YjaB,Transcription,P09163,,yjaB,444.0
b4013,metA,,4214280,4215209,+,homoserine O-succinyltransferase,Amino acid transport and metabolism,P07623,"RpoD,RpoH,MetJ",metA,930.0
b4014,aceB,,4215478,4217079,+,malate synthase A,Coenzyme transport and metabolism,P08997,"RpoD,ArcA,Crp,Cra,ppGpp,IclR,IHF,Lrp,Nac",aceBAK,1602.0
b4015,aceA,,4217109,4218413,+,isocitrate lyase,Energy production and conversion,P0A9G6,"RpoD,ArcA,Crp,Cra,ppGpp,IclR,IHF",aceBAK,1305.0
b4016,aceK,,4218596,4220332,+,isocitrate dehydrogenase kinase/phosphatase,Nucleotide transport and metabolism,P11071,"RpoD,ArcA,Crp,Cra,ppGpp,IclR,IHF",aceBAK,1737.0
b4017,arpA,,4220301,4222487,-,regulator of acetyl CoA synthetase,Function unknown,P23325,,arpA,2187.0
b4018,iclR,,4222804,4223628,-,DNA-binding transcriptional repressor IclR,Transcription,P16528,"IclR,FadR",iclR,825.0
b4019,metH,,4223828,4227511,+,cobalamin-dependent methionine synthase,Coenzyme transport and metabolism,P13009,"RpoD,Fur,MetR,ppGpp,Lrp",metH,3684.0
b4020,yjbB,,4227731,4229362,+,putative inorganic phosphate export protein,Inorganic ion transport and metabolism,P0AF43,Nac,yjbB,1632.0
b4021,pepE,,4229453,4230142,-,peptidase E,Amino acid transport and metabolism,P0A7C6,,pepE,690.0
b4022,rluF,,4230354,4231226,+,23S rRNA pseudouridine(2604) and tRNA(Tyr) pseudouridine(35) synthase,"Translation, ribosomal structure and biogenesis",P32684,,rluF,873.0
b4023,yjbD,,4231359,4231631,-,conserved protein YjbD,Function unknown,P32685,ppGpp,yjbD,273.0
b4024,lysC,,4231884,4233233,-,aspartate kinase III,Amino acid transport and metabolism,P08660,"RpoD,YneJ,ArgP",lysC,1350.0
b4025,pgi,,4233758,4235407,+,glucose-6-phosphate isomerase,Nucleotide transport and metabolism,P0A6T1,"RpoD,SoxS,RpoS",pgi,1650.0
b4026,yjbE,,4235906,4236148,+,uncharacterized protein YjbE,No COG annotation,P0AF45,"RpoD,RcsAB,IHF",yjbEFGH,243.0
b4027,yjbF,,4236262,4236900,+,lipoprotein YjbF,Cell wall/membrane/envelope biogenesis,P32687,"RpoD,RcsAB,IHF",yjbEFGH,639.0
b4028,yjbG,,4236897,4237634,+,capsule biosynthesis GfcC family protein YjbG,Function unknown,P32688,"RpoD,RcsAB,IHF",yjbEFGH,738.0
b4029,yjbH,,4237634,4239730,+,YjbH family protein,Cell wall/membrane/envelope biogenesis,P32689,"RpoD,RcsAB,IHF",yjbEFGH,2097.0
b4620,yjbT,,4239777,4240055,-,PF17089 family protein YjbT,Function unknown,A5A628,,yjbT,279.0
b4030,psiE,,4240325,4240735,+,putative phosphate starvation-inducible protein,Function unknown,P0A7C8,"RpoD,Crp,ppGpp,PhoB",psiE,411.0
b4031,xylE,,4240779,4242254,-,D-xylose:H(+) symporter,Amino acid transport and metabolism,P0AGF4,"RpoD,XylR,Crp",xylE,1476.0
b4032,malG,,4242626,4243516,-,maltose ABC transporter membrane subunit MalG,Inorganic ion transport and metabolism,P68183,"RpoD,Fis,CreB,Crp,OmpR,MalT,H-NS,StpA",malEFG,891.0
b4033,malF,,4243531,4245075,-,maltose ABC transporter membrane subunit MalF,Carbohydrate transport and metabolism,P02916,"RpoD,Fis,CreB,OmpR,Crp,MalT,H-NS,StpA",malEFG,1545.0
b4034,malE,,4245229,4246419,-,maltose ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P0AEX9,"RpoD,YidZ,Fis,CreB,Crp,OmpR,MalT,H-NS,StpA",malEFG,1191.0
b4035,malK,,4246784,4247899,+,maltose ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P68187,"RpoD,Crp,MalT",malK-lamB-malM,1116.0
b4036,lamB,,4247971,4249311,+,maltose outer membrane channel/phage lambda receptor protein,Cell wall/membrane/envelope biogenesis,P02943,"RpoD,YidZ,Crp,MalT,micA",malK-lamB-malM,1341.0
b4037,malM,,4249554,4250474,+,maltose regulon periplasmic protein,Function unknown,P03841,"RpoD,Crp,MalT",malK-lamB-malM,921.0
b4038,yjbI,,4250703,4252283,+,pentapeptide repeats-containing protein YjbI,Function unknown,,,,
b4039,ubiC,,4252506,4253003,+,chorismate lyase,Coenzyme transport and metabolism,P26602,"RpoD,YeiE,IHF,Fnr,ArcA,NarL",ubiCA,498.0
b4040,ubiA,,4253016,4253888,+,4-hydroxybenzoate octaprenyltransferase,Coenzyme transport and metabolism,P0AGK1,"RpoD,IHF,Fnr,ArcA,NarL,Lrp,Nac",ubiCA,873.0
b4041,plsB,,4254043,4256466,-,glycerol-3-phosphate 1-O-acyltransferase,Lipid transport and metabolism,P0A7A7,"RpoE,ppGpp",plsB,2424.0
b4042,dgkA,,4256637,4257005,+,diacylglycerol kinase,Cell wall/membrane/envelope biogenesis,P0ABN1,BasR,dgkA,369.0
b4043,lexA,,4257115,4257723,+,DNA-binding transcriptional repressor LexA,Transcription,P0A7C2,"RpoD,LexA",lexA-dinF,609.0
b4044,dinF,,4257742,4259121,+,DNA damage-inducible protein F,Defense mechanisms,P28303,"RpoD,LexA",lexA-dinF,1380.0
b4045,yjbJ,,4259237,4259446,+,putative stress response protein,Function unknown,P68206,"Lrp,FliZ,ppGpp",yjbJ,210.0
b4046,zur,,4259488,4260003,-,DNA-binding transcriptional repressor Zur,Inorganic ion transport and metabolism,P0AC51,,zur,516.0
b4048,yjbM,,4260599,4261306,+,uncharacterized protein YjbM,Function unknown,P32694,gcvB,,
b4049,dusA,,4261669,4262706,+,tRNA-dihydrouridine synthase A,"Translation, ribosomal structure and biogenesis",P32695,,dusA,1038.0
b4050,pspG,,4262840,4263082,+,phage shock protein G,Function unknown,P32696,"RpoN,IHF,ppGpp,PspF,Lrp",pspG,243.0
b4051,qorA,,4263248,4264231,-,putative quinone oxidoreductase 1,Energy production and conversion,P28304,ppGpp,qorA,984.0
b4052,dnaB,,4264314,4265729,+,replicative DNA helicase,"Replication, recombination and repair",P0ACB0,,dnaB,1416.0
